god,skin,link,size,slug
Zeus,Noble Esports Zeus,https://webcdn.hirezstudios.com/smite-media/wp-content/uploads/2017/08/NobleZeus-2056x1446.jpg,2560x1440,new-in-smite-corrupted-arena-4-15-patch-notes
Zeus,Noble Esports Zeus,https://webcdn.hirezstudios.com/smite-media/wp-content/uploads/2017/08/NobleZeus-3840x2160.jpg,3840x2160,new-in-smite-corrupted-arena-4-15-patch-notes
Zeus,Noble Esports Zeus,https://webcdn.hirezstudios.com/smite-media/wp-content/uploads/2017/08/NobleZeus-1080x1920.jpg,1080x1920,new-in-smite-corrupted-arena-4-15-patch-notes
Sun Wukong,Sun Wukong,https://webcdn.hirezstudios.com/smite-media/wp-content/uploads/2017/08/SWCMastery-1920x1080.jpg,1920x1080,new-in-smite-corrupted-arena-4-15-patch-notes
Sun Wukong,Sun Wukong,https://webcdn.hirezstudios.com/smite-media/wp-content/uploads/2017/08/SWCMastery-2056x1446.jpg,2560x1440,new-in-smite-corrupted-arena-4-15-patch-notes
Sun Wukong,Sun Wukong,https://webcdn.hirezstudios.com/smite-media/wp-content/uploads/2017/08/SWCMastery-3840x2160.jpg,3840x2160,new-in-smite-corrupted-arena-4-15-patch-notes
Sun Wukong,Sun Wukong,https://webcdn.hirezstudios.com/smite-media/wp-content/uploads/2017/08/SWCMastery-1080x1920.jpg,1080x1920,new-in-smite-corrupted-arena-4-15-patch-notes
Bacchus,Bearly Buzzed Bacchus,https://webcdn.hirezstudios.com/smite-media/wp-content/uploads/2017/08/BearlyBuzzedBacchus-1920x1080.jpg,1920x1080,new-in-smite-summer-knockout-4-16-patch-notes
Bacchus,Bearly Buzzed Bacchus,https://webcdn.hirezstudios.com/smite-media/wp-content/uploads/2017/08/BearlyBuzzedBacchus-2056x1446.jpg,2560x1440,new-in-smite-summer-knockout-4-16-patch-notes
Bacchus,Bearly Buzzed Bacchus,https://webcdn.hirezstudios.com/smite-media/wp-content/uploads/2017/08/BearlyBuzzedBacchus-3840x2160.jpg,3840x2160,new-in-smite-summer-knockout-4-16-patch-notes
Bacchus,Bearly Buzzed Bacchus,https://webcdn.hirezstudios.com/smite-media/wp-content/uploads/2017/08/BearlyBuzzedBacchus-1080x1920.jpg,1080x1920,new-in-smite-summer-knockout-4-16-patch-notes
Cu Chulainn,Bae Watch Cu Chulainn,https://webcdn.hirezstudios.com/smite-media/wp-content/uploads/2017/08/BaeWatch-1920x1080.jpg,1920x1080,new-in-smite-summer-knockout-4-16-patch-notes
Cu Chulainn,Bae Watch Cu Chulainn,https://webcdn.hirezstudios.com/smite-media/wp-content/uploads/2017/08/BaeWatch-2056x1446.jpg,2560x1440,new-in-smite-summer-knockout-4-16-patch-notes
Cu Chulainn,Bae Watch Cu Chulainn,https://webcdn.hirezstudios.com/smite-media/wp-content/uploads/2017/08/BaeWatch-3840x2160.jpg,3840x2160,new-in-smite-summer-knockout-4-16-patch-notes
Cu Chulainn,Bae Watch Cu Chulainn,https://webcdn.hirezstudios.com/smite-media/wp-content/uploads/2017/08/BaeWatch-1080x1920.jpg,1080x1920,new-in-smite-summer-knockout-4-16-patch-notes
Xbalanque,Fire Dancer Xbalanque,https://webcdn.hirezstudios.com/smite-media/wp-content/uploads/2017/08/FireDancerXBAL-1920x1080.jpg,1920x1080,new-in-smite-summer-knockout-4-16-patch-notes
Xbalanque,Fire Dancer Xbalanque,https://webcdn.hirezstudios.com/smite-media/wp-content/uploads/2017/08/FireDancerXBAL-2056x1446.jpg,2560x1440,new-in-smite-summer-knockout-4-16-patch-notes
Xbalanque,Fire Dancer Xbalanque,https://webcdn.hirezstudios.com/smite-media/wp-content/uploads/2017/08/FireDancerXBAL-3840x2160.jpg,3840x2160,new-in-smite-summer-knockout-4-16-patch-notes
Xbalanque,Fire Dancer Xbalanque,https://webcdn.hirezstudios.com/smite-media/wp-content/uploads/2017/08/FireDancerXBAL-1080x1920.jpg,1080x1920,new-in-smite-summer-knockout-4-16-patch-notes
Terra,Dropkick Terra,https://webcdn.hirezstudios.com/smite-media/wp-content/uploads/2017/08/DropKickTerra-1920x1080.jpg,1920x1080,new-in-smite-summer-knockout-4-16-patch-notes
Terra,Dropkick Terra,https://webcdn.hirezstudios.com/smite-media/wp-content/uploads/2017/08/DropKickTerra-2056x1446.jpg,2560x1440,new-in-smite-summer-knockout-4-16-patch-notes
Terra,Dropkick Terra,https://webcdn.hirezstudios.com/smite-media/wp-content/uploads/2017/08/DropKickTerra-3840x2160.jpg,3840x2160,new-in-smite-summer-knockout-4-16-patch-notes
Terra,Dropkick Terra,https://webcdn.hirezstudios.com/smite-media/wp-content/uploads/2017/08/DropKickTerra-1080x1920.jpg,1080x1920,new-in-smite-summer-knockout-4-16-patch-notes
Vamana,Serenity Vamana,https://webcdn.hirezstudios.com/smite-media/wp-content/uploads/2017/08/SerenityVam-1920x1080.jpg,1920x1080,new-in-smite-summer-knockout-4-16-patch-notes
Vamana,Serenity Vamana,https://webcdn.hirezstudios.com/smite-media/wp-content/uploads/2017/08/SerenityVam-2056x1446.jpg,2560x1440,new-in-smite-summer-knockout-4-16-patch-notes
Vamana,Serenity Vamana,https://webcdn.hirezstudios.com/smite-media/wp-content/uploads/2017/08/SerenityVam-3840x2160.jpg,3840x2160,new-in-smite-summer-knockout-4-16-patch-notes
Vamana,Serenity Vamana,https://webcdn.hirezstudios.com/smite-media/wp-content/uploads/2017/08/SerenityVam-1080x1920.jpg,1080x1920,new-in-smite-summer-knockout-4-16-patch-notes
Ganesha,Maha Rakta Ganesha,https://webcdn.hirezstudios.com/smite-media/wp-content/uploads/2017/08/MahaRaktaGanesha-1920x1080.jpg,1920x1080,new-in-smite-summer-knockout-4-16-patch-notes
Ganesha,Maha Rakta Ganesha,https://webcdn.hirezstudios.com/smite-media/wp-content/uploads/2017/08/MahaRaktaGanesha-2056x1446.jpg,2560x1440,new-in-smite-summer-knockout-4-16-patch-notes
Ganesha,Maha Rakta Ganesha,https://webcdn.hirezstudios.com/smite-media/wp-content/uploads/2017/08/MahaRaktaGanesha-3840x2160.jpg,3840x2160,new-in-smite-summer-knockout-4-16-patch-notes
Ganesha,Maha Rakta Ganesha,https://webcdn.hirezstudios.com/smite-media/wp-content/uploads/2017/08/MahaRaktaGanesha-1080x1920.jpg,1080x1920,new-in-smite-summer-knockout-4-16-patch-notes
Artio,Artio,https://webcdn.hirezstudios.com/smite-media/wp-content/uploads/2017/08/Artio-Mastery-1920x1080.jpg,1920x1080,new-in-smite-summer-knockout-4-16-patch-notes
Artio,Artio,https://webcdn.hirezstudios.com/smite-media/wp-content/uploads/2017/08/Artio-Mastery-2056x1446.jpg,2560x1440,new-in-smite-summer-knockout-4-16-patch-notes
Artio,Artio,https://webcdn.hirezstudios.com/smite-media/wp-content/uploads/2017/08/Artio-Mastery-3840x2160.jpg,3840x2160,new-in-smite-summer-knockout-4-16-patch-notes
Artio,Artio,https://webcdn.hirezstudios.com/smite-media/wp-content/uploads/2017/08/Artio-Mastery-1080x1920.jpg,1080x1920,new-in-smite-summer-knockout-4-16-patch-notes
Hachiman,Hachiman,https://webcdn.hirezstudios.com/smite-media/wp-content/uploads/2017/09/H-ody96417-wp1.jpg,1920x1080,the-odyssey-417-patch-notes
Hachiman,Hachiman,https://webcdn.hirezstudios.com/smite-media/wp-content/uploads/2017/09/H-ody96417-wp2.jpg,2560x1440,the-odyssey-417-patch-notes
Hachiman,Hachiman,https://webcdn.hirezstudios.com/smite-media/wp-content/uploads/2017/09/H-ody96417-wp3.jpg,3840x2160,the-odyssey-417-patch-notes
Hachiman,Hachiman,https://webcdn.hirezstudios.com/smite-media/wp-content/uploads/2017/09/H-ody96417-wp4.jpg,1080x1920,the-odyssey-417-patch-notes
Artio,Wild Druid Artio,https://webcdn.hirezstudios.com/smite-media/wp-content/uploads/2017/09/WDA-ody96417-wp1.jpg,1920x1080,the-odyssey-417-patch-notes
Artio,Wild Druid Artio,https://webcdn.hirezstudios.com/smite-media/wp-content/uploads/2017/09/WDA-ody96417-wp2.jpg,2560x1440,the-odyssey-417-patch-notes
Artio,Wild Druid Artio,https://webcdn.hirezstudios.com/smite-media/wp-content/uploads/2017/09/WDA-ody96417-wp3.jpg,3840x2160,the-odyssey-417-patch-notes
Artio,Wild Druid Artio,https://webcdn.hirezstudios.com/smite-media/wp-content/uploads/2017/09/WDA-ody96417-wp4.jpg,1080x1920,the-odyssey-417-patch-notes
Nu Wa,Dark Summoner Nu Wa,https://webcdn.hirezstudios.com/smite-media/wp-content/uploads/2017/09/dsnw-ody96417-wp1.jpg,1920x1080,the-odyssey-417-patch-notes
Nu Wa,Dark Summoner Nu Wa,https://webcdn.hirezstudios.com/smite-media/wp-content/uploads/2017/09/dsnw-ody96417-wp2.jpg,2560x1440,the-odyssey-417-patch-notes
Nu Wa,Dark Summoner Nu Wa,https://webcdn.hirezstudios.com/smite-media/wp-content/uploads/2017/09/dsnw-ody96417-wp3.jpg,3840x2160,the-odyssey-417-patch-notes
Nu Wa,Dark Summoner Nu Wa,https://webcdn.hirezstudios.com/smite-media/wp-content/uploads/2017/09/dsnw-ody96417-wp4.jpg,1080x1920,the-odyssey-417-patch-notes
